pais;nombre;apellido;numero_camiseta;cantidad_goles;minutos_jugados;cantidad_asistencias;cantidad_amarillas;cantidad_rojas;faltas_acumuladas
Argentina;Nombre7;Apellido7;7;0;0;0;0;0;0
Argentina;Nombre8;Apellido8;8;0;0;0;0;0;0
Argentina;Nombre9;Apellido9;9;0;0;0;0;0;0
Argentina;Nombre10;Apellido10;10;0;0;0;0;0;0
Argentina;Nombre11;Apellido11;11;0;0;0;0;0;0
Argentina;Nombre12;Apellido12;12;0;0;0;0;0;0
Argentina;Nombre13;Apellido13;13;0;0;0;0;0;0
Argentina;Nombre14;Apellido14;14;0;0;0;0;0;0
Argentina;Nombre15;Apellido15;15;0;0;0;0;0;0
Argentina;Nombre16;Apellido16;16;0;0;0;0;0;0
Argentina;Nombre17;Apellido17;17;0;0;0;0;0;0
Argentina;Nombre18;Apellido18;18;0;0;0;0;0;0
Argentina;Nombre19;Apellido19;19;0;0;0;0;0;0
Argentina;Nombre20;Apellido20;20;0;0;0;0;0;0
Argentina;Nombre21;Apellido21;21;0;0;0;0;0;0
Argentina;Nombre22;Apellido22;22;0;0;0;0;0;0
Argentina;Nombre23;Apellido23;23;0;0;0;0;0;0
Argentina;Nombre24;Apellido24;24;0;0;0;0;0;0
Argentina;Nombre25;Apellido25;25;0;0;0;0;0;0
Argentina;Nombre26;Apellido26;26;0;0;0;0;0;0
England;Nombre1;Apellido1;1;0;0;0;0;0;0
England;Nombre2;Apellido2;2;0;0;0;0;0;0
England;Nombre3;Apellido3;3;0;0;0;0;0;0
England;Nombre4;Apellido4;4;0;0;0;0;0;0
England;Nombre5;Apellido5;5;0;0;0;0;0;0
England;Nombre6;Apellido6;6;0;0;0;0;0;0
England;Nombre7;Apellido7;7;0;0;0;0;0;0
England;Nombre8;Apellido8;8;0;0;0;0;0;0
England;Nombre9;Apellido9;9;0;0;0;0;0;0
England;Nombre10;Apellido10;10;0;0;0;0;0;0
England;Nombre11;Apellido11;11;0;0;0;0;0;0
England;Nombre12;Apellido12;12;0;0;0;0;0;0
England;Nombre13;Apellido13;13;0;0;0;0;0;0
England;Nombre14;Apellido14;14;0;0;0;0;0;0
England;Nombre15;Apellido15;15;0;0;0;0;0;0
England;Nombre16;Apellido16;16;0;0;0;0;0;0
England;Nombre17;Apellido17;17;0;0;0;0;0;0
England;Nombre18;Apellido18;18;0;0;0;0;0;0
England;Nombre19;Apellido19;19;0;0;0;0;0;0
England;Nombre20;Apellido20;20;0;0;0;0;0;0
England;Nombre21;Apellido21;21;0;0;0;0;0;0
England;Nombre22;Apellido22;22;0;0;0;0;0;0
England;Nombre23;Apellido23;23;0;0;0;0;0;0
England;Nombre24;Apellido24;24;0;0;0;0;0;0
England;Nombre25;Apellido25;25;0;0;0;0;0;0
England;Nombre26;Apellido26;26;0;0;0;0;0;0
Portugal;Nombre1;Apellido1;1;0;0;0;0;0;0
Portugal;Nombre2;Apellido2;2;0;0;0;0;0;0
Portugal;Nombre3;Apellido3;3;0;0;0;0;0;0
Portugal;Nombre4;Apellido4;4;0;0;0;0;0;0
Portugal;Nombre5;Apellido5;5;0;0;0;0;0;0
Portugal;Nombre6;Apellido6;6;0;0;0;0;0;0
Portugal;Nombre7;Apellido7;7;0;0;0;0;0;0
Portugal;Nombre8;Apellido8;8;0;0;0;0;0;0
Portugal;Nombre9;Apellido9;9;0;0;0;0;0;0
Portugal;Nombre10;Apellido10;10;0;0;0;0;0;0
Portugal;Nombre11;Apellido11;11;0;0;0;0;0;0
Portugal;Nombre12;Apellido12;12;0;0;0;0;0;0
Portugal;Nombre13;Apellido13;13;0;0;0;0;0;0
Portugal;Nombre14;Apellido14;14;0;0;0;0;0;0
Portugal;Nombre15;Apellido15;15;0;0;0;0;0;0
Portugal;Nombre16;Apellido16;16;0;0;0;0;0;0
Portugal;Nombre17;Apellido17;17;0;0;0;0;0;0
Portugal;Nombre18;Apellido18;18;0;0;0;0;0;0
Portugal;Nombre19;Apellido19;19;0;0;0;0;0;0
Portugal;Nombre20;Apellido20;20;0;0;0;0;0;0
Portugal;Nombre21;Apellido21;21;0;0;0;0;0;0
Portugal;Nombre22;Apellido22;22;0;0;0;0;0;0
Portugal;Nombre23;Apellido23;23;0;0;0;0;0;0
Portugal;Nombre24;Apellido24;24;0;0;0;0;0;0
Portugal;Nombre25;Apellido25;25;0;0;0;0;0;0
Portugal;Nombre26;Apellido26;26;0;0;0;0;0;0
Brazil;Nombre1;Apellido1;1;0;0;0;0;0;0
Brazil;Nombre2;Apellido2;2;0;0;0;0;0;0
Brazil;Nombre3;Apellido3;3;0;0;0;0;0;0
Brazil;Nombre4;Apellido4;4;0;0;0;0;0;0
Brazil;Nombre5;Apellido5;5;0;0;0;0;0;0
Brazil;Nombre6;Apellido6;6;0;0;0;0;0;0
Brazil;Nombre7;Apellido7;7;0;0;0;0;0;0
Brazil;Nombre8;Apellido8;8;0;0;0;0;0;0
Brazil;Nombre9;Apellido9;9;0;0;0;0;0;0
Brazil;Nombre10;Apellido10;10;0;0;0;0;0;0
Brazil;Nombre11;Apellido11;11;0;0;0;0;0;0
Brazil;Nombre12;Apellido12;12;0;0;0;0;0;0
Brazil;Nombre13;Apellido13;13;0;0;0;0;0;0
Brazil;Nombre14;Apellido14;14;0;0;0;0;0;0
Brazil;Nombre15;Apellido15;15;0;0;0;0;0;0
Brazil;Nombre16;Apellido16;16;0;0;0;0;0;0
Brazil;Nombre17;Apellido17;17;0;0;0;0;0;0
Brazil;Nombre18;Apellido18;18;0;0;0;0;0;0
Brazil;Nombre19;Apellido19;19;0;0;0;0;0;0
Brazil;Nombre20;Apellido20;20;0;0;0;0;0;0
Brazil;Nombre21;Apellido21;21;0;0;0;0;0;0
Brazil;Nombre22;Apellido22;22;0;0;0;0;0;0
Brazil;Nombre23;Apellido23;23;0;0;0;0;0;0
Brazil;Nombre24;Apellido24;24;0;0;0;0;0;0
Brazil;Nombre25;Apellido25;25;0;0;0;0;0;0
Brazil;Nombre26;Apellido26;26;0;0;0;0;0;0
Netherlands;Nombre1;Apellido1;1;0;0;0;0;0;0
Netherlands;Nombre2;Apellido2;2;0;0;0;0;0;0
Netherlands;Nombre3;Apellido3;3;0;0;0;0;0;0
Netherlands;Nombre4;Apellido4;4;0;0;0;0;0;0
Netherlands;Nombre5;Apellido5;5;0;0;0;0;0;0
Netherlands;Nombre6;Apellido6;6;0;0;0;0;0;0
Netherlands;Nombre7;Apellido7;7;0;0;0;0;0;0
Netherlands;Nombre8;Apellido8;8;0;0;0;0;0;0
Netherlands;Nombre9;Apellido9;9;0;0;0;0;0;0
Netherlands;Nombre10;Apellido10;10;0;0;0;0;0;0
Netherlands;Nombre11;Apellido11;11;0;0;0;0;0;0
Netherlands;Nombre12;Apellido12;12;0;0;0;0;0;0
Netherlands;Nombre13;Apellido13;13;0;0;0;0;0;0
Netherlands;Nombre14;Apellido14;14;0;0;0;0;0;0
Netherlands;Nombre15;Apellido15;15;0;0;0;0;0;0
Netherlands;Nombre16;Apellido16;16;0;0;0;0;0;0
Netherlands;Nombre17;Apellido17;17;0;0;0;0;0;0
Netherlands;Nombre18;Apellido18;18;0;0;0;0;0;0
Netherlands;Nombre19;Apellido19;19;0;0;0;0;0;0
Netherlands;Nombre20;Apellido20;20;0;0;0;0;0;0
Netherlands;Nombre21;Apellido21;21;0;0;0;0;0;0
Netherlands;Nombre22;Apellido22;22;0;0;0;0;0;0
Netherlands;Nombre23;Apellido23;23;0;0;0;0;0;0
Netherlands;Nombre24;Apellido24;24;0;0;0;0;0;0
Netherlands;Nombre25;Apellido25;25;0;0;0;0;0;0
Netherlands;Nombre26;Apellido26;26;0;0;0;0;0;0
Belgium;Nombre1;Apellido1;1;0;0;0;0;0;0
Belgium;Nombre2;Apellido2;2;0;0;0;0;0;0
Belgium;Nombre3;Apellido3;3;0;0;0;0;0;0
Belgium;Nombre4;Apellido4;4;0;0;0;0;0;0
Belgium;Nombre5;Apellido5;5;0;0;0;0;0;0
Belgium;Nombre6;Apellido6;6;0;0;0;0;0;0
Belgium;Nombre7;Apellido7;7;0;0;0;0;0;0
Belgium;Nombre8;Apellido8;8;0;0;0;0;0;0
Belgium;Nombre9;Apellido9;9;0;0;0;0;0;0
Belgium;Nombre10;Apellido10;10;0;0;0;0;0;0
Belgium;Nombre11;Apellido11;11;0;0;0;0;0;0
Belgium;Nombre12;Apellido12;12;0;0;0;0;0;0
Belgium;Nombre13;Apellido13;13;0;0;0;0;0;0
Belgium;Nombre14;Apellido14;14;0;0;0;0;0;0
Belgium;Nombre15;Apellido15;15;0;0;0;0;0;0
Belgium;Nombre16;Apellido16;16;0;0;0;0;0;0
Belgium;Nombre17;Apellido17;17;0;0;0;0;0;0
Belgium;Nombre18;Apellido18;18;0;0;0;0;0;0
Belgium;Nombre19;Apellido19;19;0;0;0;0;0;0
Belgium;Nombre20;Apellido20;20;0;0;0;0;0;0
Belgium;Nombre21;Apellido21;21;0;0;0;0;0;0
Belgium;Nombre22;Apellido22;22;0;0;0;0;0;0
Belgium;Nombre23;Apellido23;23;0;0;0;0;0;0
Belgium;Nombre24;Apellido24;24;0;0;0;0;0;0
Belgium;Nombre25;Apellido25;25;0;0;0;0;0;0
Belgium;Nombre26;Apellido26;26;0;0;0;0;0;0
Germany;Nombre1;Apellido1;1;0;0;0;0;0;0
Germany;Nombre2;Apellido2;2;0;0;0;0;0;0
Germany;Nombre3;Apellido3;3;0;0;0;0;0;0
Germany;Nombre4;Apellido4;4;0;0;0;0;0;0
Germany;Nombre5;Apellido5;5;0;0;0;0;0;0
Germany;Nombre6;Apellido6;6;0;0;0;0;0;0
Germany;Nombre7;Apellido7;7;0;0;0;0;0;0
Germany;Nombre8;Apellido8;8;0;0;0;0;0;0
Germany;Nombre9;Apellido9;9;0;0;0;0;0;0
Germany;Nombre10;Apellido10;10;0;0;0;0;0;0
Germany;Nombre11;Apellido11;11;0;0;0;0;0;0
Germany;Nombre12;Apellido12;12;0;0;0;0;0;0
Germany;Nombre13;Apellido13;13;0;0;0;0;0;0
Germany;Nombre14;Apellido14;14;0;0;0;0;0;0
Germany;Nombre15;Apellido15;15;0;0;0;0;0;0
Germany;Nombre16;Apellido16;16;0;0;0;0;0;0
Germany;Nombre17;Apellido17;17;0;0;0;0;0;0
Germany;Nombre18;Apellido18;18;0;0;0;0;0;0
Germany;Nombre19;Apellido19;19;0;0;0;0;0;0
Germany;Nombre20;Apellido20;20;0;0;0;0;0;0
Germany;Nombre21;Apellido21;21;0;0;0;0;0;0
Germany;Nombre22;Apellido22;22;0;0;0;0;0;0
Germany;Nombre23;Apellido23;23;0;0;0;0;0;0
Germany;Nombre24;Apellido24;24;0;0;0;0;0;0
Germany;Nombre25;Apellido25;25;0;0;0;0;0;0
Germany;Nombre26;Apellido26;26;0;0;0;0;0;0
Italy;Nombre1;Apellido1;1;0;0;0;0;0;0
Italy;Nombre2;Apellido2;2;0;0;0;0;0;0
Italy;Nombre3;Apellido3;3;0;0;0;0;0;0
Italy;Nombre4;Apellido4;4;0;0;0;0;0;0
Italy;Nombre5;Apellido5;5;0;0;0;0;0;0
Italy;Nombre6;Apellido6;6;0;0;0;0;0;0
Italy;Nombre7;Apellido7;7;0;0;0;0;0;0
Italy;Nombre8;Apellido8;8;0;0;0;0;0;0
Italy;Nombre9;Apellido9;9;0;0;0;0;0;0
Italy;Nombre10;Apellido10;10;0;0;0;0;0;0
Italy;Nombre11;Apellido11;11;0;0;0;0;0;0
Italy;Nombre12;Apellido12;12;0;0;0;0;0;0
Italy;Nombre13;Apellido13;13;0;0;0;0;0;0
Italy;Nombre14;Apellido14;14;0;0;0;0;0;0
Italy;Nombre15;Apellido15;15;0;0;0;0;0;0
Italy;Nombre16;Apellido16;16;0;0;0;0;0;0
Italy;Nombre17;Apellido17;17;0;0;0;0;0;0
Italy;Nombre18;Apellido18;18;0;0;0;0;0;0
Italy;Nombre19;Apellido19;19;0;0;0;0;0;0
Italy;Nombre20;Apellido20;20;0;0;0;0;0;0
Italy;Nombre21;Apellido21;21;0;0;0;0;0;0
Italy;Nombre22;Apellido22;22;0;0;0;0;0;0
Italy;Nombre23;Apellido23;23;0;0;0;0;0;0
Italy;Nombre24;Apellido24;24;0;0;0;0;0;0
Italy;Nombre25;Apellido25;25;0;0;0;0;0;0
Italy;Nombre26;Apellido26;26;0;0;0;0;0;0
Morocco;Nombre1;Apellido1;1;0;0;0;0;0;0
Morocco;Nombre2;Apellido2;2;0;0;0;0;0;0
Morocco;Nombre3;Apellido3;3;0;0;0;0;0;0
Morocco;Nombre4;Apellido4;4;0;0;0;0;0;0
Morocco;Nombre5;Apellido5;5;0;0;0;0;0;0
Morocco;Nombre6;Apellido6;6;0;0;0;0;0;0
Morocco;Nombre7;Apellido7;7;0;0;0;0;0;0
Morocco;Nombre8;Apellido8;8;0;0;0;0;0;0
Morocco;Nombre9;Apellido9;9;0;0;0;0;0;0
Morocco;Nombre10;Apellido10;10;0;0;0;0;0;0
Morocco;Nombre11;Apellido11;11;0;0;0;0;0;0
Morocco;Nombre12;Apellido12;12;0;0;0;0;0;0
Morocco;Nombre13;Apellido13;13;0;0;0;0;0;0
Morocco;Nombre14;Apellido14;14;0;0;0;0;0;0
Morocco;Nombre15;Apellido15;15;0;0;0;0;0;0
Morocco;Nombre16;Apellido16;16;0;0;0;0;0;0
Morocco;Nombre17;Apellido17;17;0;0;0;0;0;0
Morocco;Nombre18;Apellido18;18;0;0;0;0;0;0
Morocco;Nombre19;Apellido19;19;0;0;0;0;0;0
Morocco;Nombre20;Apellido20;20;0;0;0;0;0;0
Morocco;Nombre21;Apellido21;21;0;0;0;0;0;0
Morocco;Nombre22;Apellido22;22;0;0;0;0;0;0
Morocco;Nombre23;Apellido23;23;0;0;0;0;0;0
Morocco;Nombre24;Apellido24;24;0;0;0;0;0;0
Morocco;Nombre25;Apellido25;25;0;0;0;0;0;0
Morocco;Nombre26;Apellido26;26;0;0;0;0;0;0
Uruguay;Nombre1;Apellido1;1;0;0;0;0;0;0
Uruguay;Nombre2;Apellido2;2;0;0;0;0;0;0
Uruguay;Nombre3;Apellido3;3;0;0;0;0;0;0
Uruguay;Nombre4;Apellido4;4;0;0;0;0;0;0
Uruguay;Nombre5;Apellido5;5;0;0;0;0;0;0
Uruguay;Nombre6;Apellido6;6;0;0;0;0;0;0
Uruguay;Nombre7;Apellido7;7;0;0;0;0;0;0
Uruguay;Nombre8;Apellido8;8;0;0;0;0;0;0
Uruguay;Nombre9;Apellido9;9;0;0;0;0;0;0
Uruguay;Nombre10;Apellido10;10;0;0;0;0;0;0
Uruguay;Nombre11;Apellido11;11;0;0;0;0;0;0
Uruguay;Nombre12;Apellido12;12;0;0;0;0;0;0
Uruguay;Nombre13;Apellido13;13;0;0;0;0;0;0
Uruguay;Nombre14;Apellido14;14;0;0;0;0;0;0
Uruguay;Nombre15;Apellido15;15;0;0;0;0;0;0
Uruguay;Nombre16;Apellido16;16;0;0;0;0;0;0
Uruguay;Nombre17;Apellido17;17;0;0;0;0;0;0
Uruguay;Nombre18;Apellido18;18;0;0;0;0;0;0
Uruguay;Nombre19;Apellido19;19;0;0;0;0;0;0
Uruguay;Nombre20;Apellido20;20;0;0;0;0;0;0
Uruguay;Nombre21;Apellido21;21;0;0;0;0;0;0
Uruguay;Nombre22;Apellido22;22;0;0;0;0;0;0
Uruguay;Nombre23;Apellido23;23;0;0;0;0;0;0
Uruguay;Nombre24;Apellido24;24;0;0;0;0;0;0
Uruguay;Nombre25;Apellido25;25;0;0;0;0;0;0
Uruguay;Nombre26;Apellido26;26;0;0;0;0;0;0
Colombia;Nombre1;Apellido1;1;0;0;0;0;0;0
Colombia;Nombre2;Apellido2;2;0;0;0;0;0;0
Colombia;Nombre3;Apellido3;3;0;0;0;0;0;0
Colombia;Nombre4;Apellido4;4;0;0;0;0;0;0
Colombia;Nombre5;Apellido5;5;0;0;0;0;0;0
Colombia;Nombre6;Apellido6;6;0;0;0;0;0;0
Colombia;Nombre7;Apellido7;7;0;0;0;0;0;0
Colombia;Nombre8;Apellido8;8;0;0;0;0;0;0
Colombia;Nombre9;Apellido9;9;0;0;0;0;0;0
Colombia;Nombre10;Apellido10;10;0;0;0;0;0;0
Colombia;Nombre11;Apellido11;11;0;0;0;0;0;0
Colombia;Nombre12;Apellido12;12;0;0;0;0;0;0
Colombia;Nombre13;Apellido13;13;0;0;0;0;0;0
Colombia;Nombre14;Apellido14;14;0;0;0;0;0;0
Colombia;Nombre15;Apellido15;15;0;0;0;0;0;0
Colombia;Nombre16;Apellido16;16;0;0;0;0;0;0
Colombia;Nombre17;Apellido17;17;0;0;0;0;0;0
Colombia;Nombre18;Apellido18;18;0;0;0;0;0;0
Colombia;Nombre19;Apellido19;19;0;0;0;0;0;0
Colombia;Nombre20;Apellido20;20;0;0;0;0;0;0
Colombia;Nombre21;Apellido21;21;0;0;0;0;0;0
Colombia;Nombre22;Apellido22;22;0;0;0;0;0;0
Colombia;Nombre23;Apellido23;23;0;0;0;0;0;0
Colombia;Nombre24;Apellido24;24;0;0;0;0;0;0
Colombia;Nombre25;Apellido25;25;0;0;0;0;0;0
Colombia;Nombre26;Apellido26;26;0;0;0;0;0;0
Croatia;Nombre1;Apellido1;1;0;0;0;0;0;0
Croatia;Nombre2;Apellido2;2;0;0;0;0;0;0
Croatia;Nombre3;Apellido3;3;0;0;0;0;0;0
Croatia;Nombre4;Apellido4;4;0;0;0;0;0;0
Croatia;Nombre5;Apellido5;5;0;0;0;0;0;0
Croatia;Nombre6;Apellido6;6;0;0;0;0;0;0
Croatia;Nombre7;Apellido7;7;0;0;0;0;0;0
Croatia;Nombre8;Apellido8;8;0;0;0;0;0;0
Croatia;Nombre9;Apellido9;9;0;0;0;0;0;0
Croatia;Nombre10;Apellido10;10;0;0;0;0;0;0
Croatia;Nombre11;Apellido11;11;0;0;0;0;0;0
Croatia;Nombre12;Apellido12;12;0;0;0;0;0;0
Croatia;Nombre13;Apellido13;13;0;0;0;0;0;0
Croatia;Nombre14;Apellido14;14;0;0;0;0;0;0
Croatia;Nombre15;Apellido15;15;0;0;0;0;0;0
Croatia;Nombre16;Apellido16;16;0;0;0;0;0;0
Croatia;Nombre17;Apellido17;17;0;0;0;0;0;0
Croatia;Nombre18;Apellido18;18;0;0;0;0;0;0
Croatia;Nombre19;Apellido19;19;0;0;0;0;0;0
Croatia;Nombre20;Apellido20;20;0;0;0;0;0;0
Croatia;Nombre21;Apellido21;21;0;0;0;0;0;0
Croatia;Nombre22;Apellido22;22;0;0;0;0;0;0
Croatia;Nombre23;Apellido23;23;0;0;0;0;0;0
Croatia;Nombre24;Apellido24;24;0;0;0;0;0;0
Croatia;Nombre25;Apellido25;25;0;0;0;0;0;0
Croatia;Nombre26;Apellido26;26;0;0;0;0;0;0
Mexico;Nombre1;Apellido1;1;0;0;0;0;0;0
Mexico;Nombre2;Apellido2;2;0;0;0;0;0;0
Mexico;Nombre3;Apellido3;3;0;0;0;0;0;0
Mexico;Nombre4;Apellido4;4;0;0;0;0;0;0
Mexico;Nombre5;Apellido5;5;0;0;0;0;0;0
Mexico;Nombre6;Apellido6;6;0;0;0;0;0;0
Mexico;Nombre7;Apellido7;7;0;0;0;0;0;0
Mexico;Nombre8;Apellido8;8;0;0;0;0;0;0
Mexico;Nombre9;Apellido9;9;0;0;0;0;0;0
Mexico;Nombre10;Apellido10;10;0;0;0;0;0;0
Mexico;Nombre11;Apellido11;11;0;0;0;0;0;0
Mexico;Nombre12;Apellido12;12;0;0;0;0;0;0
Mexico;Nombre13;Apellido13;13;0;0;0;0;0;0
Mexico;Nombre14;Apellido14;14;0;0;0;0;0;0
Mexico;Nombre15;Apellido15;15;0;0;0;0;0;0
Mexico;Nombre16;Apellido16;16;0;0;0;0;0;0
Mexico;Nombre17;Apellido17;17;0;0;0;0;0;0
Mexico;Nombre18;Apellido18;18;0;0;0;0;0;0
Mexico;Nombre19;Apellido19;19;0;0;0;0;0;0
Mexico;Nombre20;Apellido20;20;0;0;0;0;0;0
Mexico;Nombre21;Apellido21;21;0;0;0;0;0;0
Mexico;Nombre22;Apellido22;22;0;0;0;0;0;0
Mexico;Nombre23;Apellido23;23;0;0;0;0;0;0
Mexico;Nombre24;Apellido24;24;0;0;0;0;0;0
Mexico;Nombre25;Apellido25;25;0;0;0;0;0;0
Mexico;Nombre26;Apellido26;26;0;0;0;0;0;0
United States;Nombre1;Apellido1;1;0;0;0;0;0;0
United States;Nombre2;Apellido2;2;0;0;0;0;0;0
United States;Nombre3;Apellido3;3;0;0;0;0;0;0
United States;Nombre4;Apellido4;4;0;0;0;0;0;0
United States;Nombre5;Apellido5;5;0;0;0;0;0;0
United States;Nombre6;Apellido6;6;0;0;0;0;0;0
United States;Nombre7;Apellido7;7;0;0;0;0;0;0
United States;Nombre8;Apellido8;8;0;0;0;0;0;0
United States;Nombre9;Apellido9;9;0;0;0;0;0;0
United States;Nombre10;Apellido10;10;0;0;0;0;0;0
United States;Nombre11;Apellido11;11;0;0;0;0;0;0
United States;Nombre12;Apellido12;12;0;0;0;0;0;0
United States;Nombre13;Apellido13;13;0;0;0;0;0;0
United States;Nombre14;Apellido14;14;0;0;0;0;0;0
United States;Nombre15;Apellido15;15;0;0;0;0;0;0
United States;Nombre16;Apellido16;16;0;0;0;0;0;0
United States;Nombre17;Apellido17;17;0;0;0;0;0;0
United States;Nombre18;Apellido18;18;0;0;0;0;0;0
United States;Nombre19;Apellido19;19;0;0;0;0;0;0
United States;Nombre20;Apellido20;20;0;0;0;0;0;0
United States;Nombre21;Apellido21;21;0;0;0;0;0;0
United States;Nombre22;Apellido22;22;0;0;0;0;0;0
United States;Nombre23;Apellido23;23;0;0;0;0;0;0
United States;Nombre24;Apellido24;24;0;0;0;0;0;0
United States;Nombre25;Apellido25;25;0;0;0;0;0;0
United States;Nombre26;Apellido26;26;0;0;0;0;0;0
Japan;Nombre1;Apellido1;1;0;0;0;0;0;0
Japan;Nombre2;Apellido2;2;0;0;0;0;0;0
Japan;Nombre3;Apellido3;3;0;0;0;0;0;0
Japan;Nombre4;Apellido4;4;0;0;0;0;0;0
Japan;Nombre5;Apellido5;5;0;0;0;0;0;0
Japan;Nombre6;Apellido6;6;0;0;0;0;0;0
Japan;Nombre7;Apellido7;7;0;0;0;0;0;0
Japan;Nombre8;Apellido8;8;0;0;0;0;0;0
Japan;Nombre9;Apellido9;9;0;0;0;0;0;0
Japan;Nombre10;Apellido10;10;0;0;0;0;0;0
Japan;Nombre11;Apellido11;11;0;0;0;0;0;0
Japan;Nombre12;Apellido12;12;0;0;0;0;0;0
Japan;Nombre13;Apellido13;13;0;0;0;0;0;0
Japan;Nombre14;Apellido14;14;0;0;0;0;0;0
Japan;Nombre15;Apellido15;15;0;0;0;0;0;0
Japan;Nombre16;Apellido16;16;0;0;0;0;0;0
Japan;Nombre17;Apellido17;17;0;0;0;0;0;0
Japan;Nombre18;Apellido18;18;0;0;0;0;0;0
Japan;Nombre19;Apellido19;19;0;0;0;0;0;0
Japan;Nombre20;Apellido20;20;0;0;0;0;0;0
Japan;Nombre21;Apellido21;21;0;0;0;0;0;0
Japan;Nombre22;Apellido22;22;0;0;0;0;0;0
Japan;Nombre23;Apellido23;23;0;0;0;0;0;0
Japan;Nombre24;Apellido24;24;0;0;0;0;0;0
Japan;Nombre25;Apellido25;25;0;0;0;0;0;0
Japan;Nombre26;Apellido26;26;0;0;0;0;0;0
Iran;Nombre1;Apellido1;1;0;0;0;0;0;0
Iran;Nombre2;Apellido2;2;0;0;0;0;0;0
Iran;Nombre3;Apellido3;3;0;0;0;0;0;0
Iran;Nombre4;Apellido4;4;0;0;0;0;0;0
Iran;Nombre5;Apellido5;5;0;0;0;0;0;0
Iran;Nombre6;Apellido6;6;0;0;0;0;0;0
Iran;Nombre7;Apellido7;7;0;0;0;0;0;0
Iran;Nombre8;Apellido8;8;0;0;0;0;0;0
Iran;Nombre9;Apellido9;9;0;0;0;0;0;0
Iran;Nombre10;Apellido10;10;0;0;0;0;0;0
Iran;Nombre11;Apellido11;11;0;0;0;0;0;0
Iran;Nombre12;Apellido12;12;0;0;0;0;0;0
Iran;Nombre13;Apellido13;13;0;0;0;0;0;0
